market_id,city,state_name,state_code,latitude,longitude,year,population,home_value,population_growth_1yr_pct,population_growth_5yr_pct,home_value_growth_1yr_pct,home_value_cagr_3yr_pct,home_value_cagr_5yr_pct,permitted_units,permits_per_1000_population,permit_growth_1yr_pct,homes_sold,homes_sold_growth_1yr_pct,avg_inventory,inventory_growth_1yr_pct,avg_months_of_supply,avg_sale_to_list_pct,activity_months,growth_score,demand_score,supply_score,baseline_score,growth_heavy_score,demand_heavy_score,supply_light_score,avg_scenario_score,baseline_rank,growth_heavy_rank,demand_heavy_rank,supply_light_rank,avg_rank,rank_range,rank_stddev,national_baseline_rank,national_robust_rank,state_baseline_rank,state_robust_rank,created_at
US-4821892,Eagle Pass,Texas,TX,,,2025,28926,226888.21,0.48,2.51,2.01,5.08,5.97,94,3.25,22.08,428.0,2.64,112.0,19.25,10.07,95.97,12,50.09,27.0,42.99,40.23,42.1,36.32,38.99,39.41,2356,2147,2471,2356,2332.5,324,116.94,2356,2377,129,136,2026-09-19 22:18:21.483951+00:00
US-0659920,Redding,California,CA,,,2025,94092,387190.52,0.46,0.34,-1.18,0.13,3.88,195,2.07,58.54,3252.0,2.75,257.92,31.31,2.89,98.48,12,25.23,53.01,41.57,39.04,36.02,42.96,39.37,39.35,2434,2474,2086,2336,2332.5,388,150.91,2434,2378,279,277,2026-09-19 22:18:21.483951+00:00
US-3886220,Williston,North Dakota,ND,,,2025,29522,366842.62,2.43,0.74,7.92,4.06,3.32,97,3.29,59.02,865.0,-6.18,53.92,5.55,2.3,98.81,12,25.32,47.54,54.33,40.35,36.34,41.89,38.22,39.2,2347,2456,2149,2385,2334.25,307,113.88,2347,2379,7,8,2026-09-19 22:18:21.483951+00:00
US-0623182,Fairfield,California,CA,,,2025,122489,603965.41,0.14,2.17,-2.72,-0.17,3.65,208,1.7,-27.27,2392.0,-7.11,212.33,24.11,3.22,99.4,12,32.74,42.38,49.16,40.22,38.09,40.51,38.72,39.38,2359,2372,2246,2366,2335.75,126,52.02,2359,2380,266,278,2026-09-19 22:18:21.483951+00:00
US-0446000,Mesa,Arizona,AZ,,,2025,513656,432480.49,-0.22,1.52,-3.34,-0.96,5.49,2015,3.92,-26.33,16070.0,1.08,1650.42,31.12,3.77,98.07,12,40.71,41.2,31.72,38.63,39.51,39.63,40.03,39.45,2464,2288,2306,2288,2336.5,176,73.98,2464,2381,36,36,2026-09-19 22:18:21.483951+00:00
US-4854804,Palmview,Texas,TX,,,2025,15878,185651.79,-0.36,0.31,-0.17,3.53,8.07,114,7.18,111.11,127.0,-4.51,32.83,21.23,9.99,97.07,12,62.93,18.7,28.88,38.93,44.55,33.49,39.62,39.15,2440,1996,2594,2319,2337.25,598,219.81,2440,2382,145,137,2026-09-19 22:18:21.483951+00:00
US-4846440,Manor,Texas,TX,,,2025,23070,326857.8,6.54,63.36,-6.83,-7.33,3.81,1181,51.19,79.21,1225.0,-3.92,141.08,12.34,4.33,98.07,12,52.79,30.22,27.41,38.55,42.21,36.57,40.1,39.36,2468,2142,2461,2282,2338.25,326,135.63,2468,2383,149,138,2026-09-19 22:18:21.483951+00:00
US-4005700,Bethany,Oklahoma,OK,,,2025,20315,179162.61,-0.82,-2.45,-1.32,1.55,6.06,15,0.74,15.38,601.0,-8.38,35.5,18.99,2.16,97.73,12,29.04,40.44,62.38,41.36,37.46,40.31,37.5,39.16,2277,2392,2262,2424,2338.75,162,70.37,2277,2384,34,37,2026-09-19 22:18:21.483951+00:00
US-1248750,Niceville,Florida,FL,,,2025,17948,430869.7,0.39,13.19,-2.24,-0.48,4.63,78,4.35,8.33,898.0,-1.32,128.33,40.9,5.64,98.17,12,53.29,30.4,25.59,38.35,42.27,36.54,40.22,39.34,2485,2138,2463,2277,2340.75,347,142.24,2485,2385,130,118,2026-09-19 22:18:21.483951+00:00
US-2829700,Gulfport,Mississippi,MS,,,2025,76506,201391.09,2.17,4.96,-0.38,1.15,5.43,1098,14.35,-4.69,3052.0,0.1,373.25,5.76,4.5,96.65,12,50.33,29.96,34.31,39.19,41.81,36.72,39.56,39.32,2426,2161,2454,2323,2341.0,293,114.8,2426,2386,19,16,2026-09-19 22:18:21.483951+00:00
US-0178204,Valley,Alabama,AL,,,2025,10294,173904.19,0.06,-1.19,0.99,3.63,5.03,92,8.94,170.59,416.0,24.18,45.08,-2.35,4.02,96.91,12,23.84,53.2,43.66,39.07,35.62,42.96,39.04,39.17,2430,2497,2085,2352,2341.0,412,156.46,2430,2387,44,43,2026-09-19 22:18:21.483951+00:00
US-2079950,Winfield,Kansas,KS,,,2025,11745,135532.81,0.32,-0.19,2.52,4.03,7.29,7,0.6,-36.36,426.0,-8.97,47.92,35.61,4.17,95.55,12,54.25,17.47,53.83,41.27,43.15,33.96,37.66,39.01,2288,2086,2580,2410,2341.0,494,180.08,2288,2388,29,29,2026-09-19 22:18:21.483951+00:00
US-1804114,Bedford,Indiana,IN,,,2025,13962,209173.15,0.56,1.04,4.12,4.43,7.17,99,7.09,,602.0,-22.32,73.0,-0.34,4.49,97.61,12,59.09,15.37,45.78,40.46,43.97,33.04,38.08,38.89,2333,2036,2610,2390,2342.25,574,204.84,2333,2389,74,74,2026-09-19 22:18:21.483951+00:00
US-3726880,Goldsboro,North Carolina,NC,,,2025,35012,194684.0,0.33,1.63,-0.63,2.41,5.73,134,3.83,13.56,1076.0,0.47,112.83,31.07,3.84,97.63,12,43.84,37.46,32.2,38.7,40.18,38.58,39.8,39.32,2457,2254,2360,2304,2343.75,203,75.37,2457,2390,50,50,2026-09-19 22:18:21.483951+00:00
US-4824768,Euless,Texas,TX,,,2025,60008,356894.96,0.1,-1.73,-2.9,-0.08,5.76,219,3.65,-45.25,1247.0,4.35,93.08,35.72,2.74,97.94,12,28.42,53.58,30.63,37.78,36.3,42.59,39.96,39.16,2513,2461,2112,2291,2344.25,401,157.23,2513,2391,159,139,2026-09-19 22:18:21.483951+00:00
US-4876000,Waco,Texas,TX,,,2025,147788,198264.82,0.68,5.16,-3.16,-1.54,5.56,1119,7.57,58.72,4551.0,0.53,712.25,10.68,5.74,96.52,12,52.2,26.58,37.31,39.51,42.28,35.88,39.18,39.21,2406,2137,2494,2345,2345.5,357,131.52,2406,2392,140,140,2026-09-19 22:18:21.483951+00:00
US-1911080,Carroll,Iowa,IA,,,2025,10085,201922.77,-0.71,-2.19,6.67,3.81,6.34,9,0.89,-40.0,311.0,4.71,33.67,22.05,4.08,95.56,12,33.68,37.51,57.87,41.07,38.46,39.42,37.82,39.19,2305,2355,2322,2402,2346.0,97,36.99,2305,2393,30,31,2026-09-19 22:18:21.483951+00:00
US-0803455,Arvada,Colorado,CO,,,2025,122901,614879.57,0.48,-1.17,-2.49,-0.09,4.21,187,1.52,-48.63,5775.0,0.19,428.75,34.02,2.69,99.36,12,19.6,56.75,44.52,38.84,34.49,43.77,38.81,38.98,2446,2545,2031,2362,2346.0,514,193.06,2446,2394,37,38,2026-09-19 22:18:21.483951+00:00
US-0610046,Camarillo,California,CA,,,2025,68652,901042.42,-1.16,-2.94,-0.14,2.43,5.19,399,5.81,-17.73,1961.0,6.52,142.58,51.68,2.66,99.42,12,18.21,67.64,18.13,35.49,33.03,45.38,40.45,38.59,2616,2601,1906,2265,2347.0,710,290.72,2616,2395,314,279,2026-09-19 22:18:21.483951+00:00
US-4852212,Northlake,Texas,TX,,,2025,12036,503487.27,11.93,117.89,-3.71,-2.24,5.93,438,36.39,-31.24,1091.0,-8.55,164.33,18.8,5.55,96.78,12,67.71,15.65,22.12,38.09,45.25,32.24,39.73,38.83,2498,1938,2641,2312,2347.25,703,263.51,2498,2396,154,141,2026-09-19 22:18:21.483951+00:00
US-4831328,Groves,Texas,TX,,,2025,16907,179241.23,0.01,-2.24,6.81,1.24,2.89,30,1.77,-16.67,676.0,13.42,50.75,-14.83,2.78,94.7,12,11.33,53.07,73.38,41.45,33.16,43.59,36.32,38.63,2265,2596,2045,2484,2347.5,551,211.36,2265,2397,114,142,2026-09-19 22:18:21.483951+00:00
US-4845120,Lumberton,Texas,TX,,,2025,14123,278651.15,-0.77,3.65,0.26,0.8,2.98,53,3.75,65.63,529.0,-1.31,64.75,-16.36,4.65,98.17,12,35.83,33.27,61.89,41.45,38.97,38.33,37.29,39.01,2264,2317,2377,2433,2347.75,169,63.41,2264,2398,113,143,2026-09-19 22:18:21.483951+00:00
US-4167100,Sherwood,Oregon,OR,,,2025,20535,633401.44,0.88,0.42,-2.09,-0.14,4.66,40,1.95,-57.45,841.0,-12.03,71.17,9.49,3.16,99.72,12,29.02,41.42,59.02,40.86,37.24,40.34,37.6,39.01,2312,2406,2258,2416,2348.0,158,65.92,2312,2399,35,38,2026-09-19 22:18:21.483951+00:00
US-0826270,Federal Heights,Colorado,CO,,,2025,14075,399501.57,-0.45,-2.21,-3.66,-2.31,2.82,0,0.0,,118.0,10.28,10.75,84.29,3.75,98.69,12,11.33,57.6,62.0,40.19,32.81,44.38,37.22,38.65,2364,2610,1981,2437,2348.0,629,229.95,2364,2400,34,39,2026-09-19 22:18:21.483951+00:00
US-1224475,Fort Walton Beach,Florida,FL,,,2025,21097,319069.19,-0.45,0.72,-2.89,-1.6,4.36,20,0.95,25.0,994.0,6.31,150.0,-0.72,5.9,96.29,12,28.93,34.91,74.8,42.49,37.61,39.1,36.21,38.85,2187,2387,2333,2488,2348.75,301,108.7,2187,2401,104,119,2026-09-19 22:18:21.483951+00:00
US-2715022,Dayton,Minnesota,MN,,,2025,11402,515773.17,5.9,53.42,1.98,0.96,4.07,143,12.54,-40.91,913.0,-13.71,96.75,19.81,4.13,99.16,12,53.87,30.16,23.57,38.0,42.21,36.28,40.17,39.17,2505,2141,2474,2278,2349.5,364,148.55,2505,2402,91,90,2026-09-19 22:18:21.483951+00:00
US-0602896,Artesia,California,CA,,,2025,15789,859015.49,0.2,-3.37,-0.48,4.2,5.97,17,1.08,-71.19,159.0,-31.17,14.33,2.38,3.34,100.99,12,24.49,40.73,71.66,41.97,36.44,40.5,36.52,38.86,2228,2448,2248,2479,2350.75,251,113.5,2228,2403,248,280,2026-09-19 22:18:21.483951+00:00
US-3744400,Morganton,North Carolina,NC,,,2025,17849,257767.03,0.11,1.98,0.12,3.4,6.98,88,4.93,-9.28,410.0,-21.46,51.83,-11.77,4.74,95.51,12,61.12,8.59,55.61,41.36,44.54,31.4,36.93,38.56,2278,1997,2676,2459,2352.5,679,248.96,2278,2404,49,51,2026-09-19 22:18:21.483951+00:00
US-4022050,Durant,Oklahoma,OK,,,2025,21552,228733.33,2.72,15.08,0.42,0.92,5.66,155,7.19,-11.93,562.0,-1.75,88.67,36.76,5.8,96.26,12,62.65,22.21,19.53,37.72,44.05,33.94,40.14,38.96,2516,2033,2581,2281,2352.75,548,215.72,2516,2405,40,38,2026-09-19 22:18:21.483951+00:00
US-1304896,Bainbridge,Georgia,GA,,,2025,14606,169064.56,0.25,0.87,-4.36,1.02,5.89,110,7.53,-0.9,377.0,22.01,67.67,30.13,7.01,96.09,12,42.05,42.86,22.42,37.43,39.35,39.55,40.45,39.19,2536,2298,2314,2264,2353.0,272,107.19,2536,2406,76,71,2026-09-19 22:18:21.483951+00:00
US-3755900,Reidsville,North Carolina,NC,,,2025,14692,207379.65,-0.07,0.69,-1.28,1.62,3.25,23,1.57,4.55,641.0,27.44,73.75,48.49,4.19,97.29,12,24.94,53.64,38.82,38.46,35.63,42.81,39.24,39.03,2478,2495,2097,2343,2353.25,398,159.24,2478,2407,52,52,2026-09-19 22:18:21.483951+00:00
US-1227322,Greenacres,Florida,FL,,,2025,44736,283264.34,-0.46,1.67,-8.1,-1.44,6.94,4,0.09,300.0,1463.0,-19.44,331.5,33.8,8.73,96.79,12,59.24,6.8,63.77,42.02,44.19,31.08,36.09,38.34,2220,2023,2687,2494,2356.0,664,253.96,2220,2408,106,120,2026-09-19 22:18:21.483951+00:00
US-1250575,Oakland Park,Florida,FL,,,2025,45332,369977.2,-0.05,2.28,-5.23,0.54,7.05,46,1.01,2.22,923.0,-16.39,292.42,32.72,11.71,96.49,12,63.13,8.3,50.07,40.67,44.72,31.01,37.15,38.39,2323,1974,2689,2444,2357.5,715,257.7,2323,2409,113,121,2026-09-19 22:18:21.483951+00:00
US-0151096,Moody,Alabama,AL,,,2025,13559,257706.38,-0.33,2.49,-0.54,-0.45,4.82,50,3.69,354.55,530.0,-5.36,50.42,5.95,3.49,98.07,12,39.28,33.4,51.93,40.38,39.41,37.94,37.9,38.91,2340,2295,2399,2399,2358.25,104,43.75,2340,2410,39,44,2026-09-19 22:18:21.483951+00:00
US-1328968,Fayetteville,Georgia,GA,,,2025,20465,437496.35,0.44,7.63,-1.02,1.6,6.29,141,6.89,161.11,781.0,-12.54,109.92,27.44,5.43,98.0,12,64.13,18.1,25.2,38.29,44.48,32.97,39.52,38.82,2491,2003,2611,2328,2358.25,608,228.38,2491,2411,73,72,2026-09-19 22:18:21.483951+00:00
US-0659514,Rancho Palos Verdes,California,CA,,,2025,39654,1790140.31,-0.95,-5.89,-3.02,1.18,6.06,16,0.4,45.45,1223.0,7.0,144.58,26.37,4.42,98.21,12,21.51,47.55,61.28,40.57,35.29,41.8,37.21,38.72,2327,2516,2154,2439,2359.0,362,136.1,2327,2412,261,281,2026-09-19 22:18:21.483951+00:00
US-2018250,Dodge City,Kansas,KS,,,2025,27653,214171.94,-0.64,-0.3,1.43,7.38,9.66,53,1.92,-59.54,539.0,-6.75,70.25,69.62,4.92,,12,64.23,13.72,34.34,39.08,44.6,31.97,38.51,38.54,2429,1990,2648,2370,2359.25,658,237.01,2429,2413,32,30,2026-09-19 22:18:21.483951+00:00
US-4854708,Palestine,Texas,TX,,,2025,19555,194909.04,0.27,5.22,-8.51,-1.12,4.6,12,0.61,-52.0,491.0,-11.21,94.0,4.93,7.14,98.09,12,44.94,16.96,75.95,42.9,41.2,34.2,35.45,38.44,2155,2196,2568,2520,2359.75,413,185.6,2155,2414,100,144,2026-09-19 22:18:21.483951+00:00
US-1310944,Brookhaven,Georgia,GA,,,2025,59643,733144.88,0.14,5.09,2.34,2.63,5.01,143,2.4,22.22,2067.0,-4.97,227.33,30.09,4.11,98.11,12,47.04,30.13,40.16,39.4,40.93,36.71,38.74,38.95,2411,2210,2457,2365,2360.75,247,92.91,2411,2415,72,73,2026-09-19 22:18:21.483951+00:00
US-1278000,Wilton Manors,Florida,FL,,,2025,11655,573855.11,-0.15,1.9,-4.29,0.53,7.93,7,0.6,-12.5,249.0,-18.89,96.92,65.43,14.9,94.71,12,69.5,1.62,47.5,40.24,45.84,28.87,36.75,37.92,2352,1885,2743,2469,2362.25,858,309.93,2352,2416,118,122,2026-09-19 22:18:21.483951+00:00
US-2102368,Ashland,Kentucky,KY,,,2025,20996,124956.16,-0.75,-2.76,-0.88,-2.18,2.05,11,0.52,22.22,858.0,18.84,70.08,4.08,3.09,95.58,12,6.57,55.31,77.45,41.35,31.83,44.01,35.59,38.2,2279,2646,2009,2516,2362.5,637,242.83,2279,2417,20,21,2026-09-19 22:18:21.483951+00:00
US-0670098,Santa Rosa,California,CA,,,2025,179437,713330.4,0.84,0.84,-3.09,0.24,2.57,652,3.63,123.29,4440.0,2.4,386.83,25.9,3.22,99.42,12,22.48,56.56,36.33,37.87,34.78,43.3,39.2,38.79,2509,2536,2068,2344,2364.25,468,186.16,2509,2418,295,282,2026-09-19 22:18:21.483951+00:00
US-0667042,San Gabriel,California,CA,,,2025,38186,1096960.79,0.32,-3.27,2.52,3.6,5.63,61,1.6,-45.05,434.0,-9.39,35.17,19.89,2.98,103.12,12,21.15,51.03,53.14,39.61,34.91,42.38,37.8,38.68,2402,2530,2124,2404,2365.0,406,148.49,2402,2419,273,283,2026-09-19 22:18:21.483951+00:00
US-4870904,Sulphur Springs,Texas,TX,,,2025,17054,249613.8,0.76,6.81,-2.18,-3.65,2.33,60,3.52,-4.76,467.0,12.26,80.5,25.95,6.34,96.11,12,39.24,39.47,36.75,38.7,38.94,38.99,39.1,38.93,2456,2322,2342,2349,2367.25,134,52.19,2456,2420,147,145,2026-09-19 22:18:21.483951+00:00
