City,Start_Year,Latest_Year,Start_Population,Latest_Population,Population_Change,Total_Population_Growth_Pct,Years,Population_CAGR_Pct,Latest_Population_YoY_Pct,Population_Growth_Acceleration
Anna,2020,2025,17616.0,35245.0,17629.0,100.07379654859218,5,14.878311246231357,10.154394299287418,-4.370625387161152
Celina,2020,2025,18033.0,64427.0,46394.0,257.27277768535464,5,29.003052055179058,24.576058162693126,6.5546067706347095
Frisco,2020,2025,202749.0,236955.0,34206.0,16.871106639243607,5,3.1671495196968547,0.7637385768777705,-2.8862407071427176
McKinney,2020,2025,197507.0,236001.0,38494.0,19.48994212863342,5,3.625411976863524,3.7380712712695052,-1.6656186015030938
Melissa,2020,2025,14339.0,29969.0,15630.0,109.0034172536439,5,15.885921196860942,14.48162579265031,4.490029153994856
Plano,2020,2025,286414.0,293028.0,6614.0,2.3092446598280914,5,0.4576410128924513,-0.12508733959337714,-0.12508733959337714
Princeton,2020,2025,17501.0,43524.0,26023.0,148.69436032226727,5,19.986721629859836,18.092033861515077,-12.4456157807602
Prosper,2020,2025,30829.0,45605.0,14776.0,47.92889811541081,5,8.146035772636239,2.4578194154253996,-3.4451070656595473
Richardson,2020,2025,119319.0,118542.0,-777.0,-0.651195534659188,5,-0.13057968299046152,0.48316549689757515,1.1249361775787614
