City,Pct_Rank_1,Pct_Top_3,Average_Rank,Median_Rank,Best_Rank,Worst_Rank,Mean_Score,Score_5th_Pct,Score_95th_Pct,Score_Range_90Pct,Robustness_Profile
Plano,51.7,89.0,1.9289,1.0,1,8,66.5641623400543,44.616790492880355,83.42011611882901,38.80332562594866,Highly Robust
Melissa,20.93,81.06,2.4682,2.0,1,7,63.76209826943979,49.671369098011176,76.60043578111379,26.92906668310261,Highly Robust
Celina,23.13,48.66,3.861,4.0,1,8,56.83934444934502,38.483680949696016,74.35275678865563,35.86907583895961,Moderately Robust
McKinney,0.0,30.39,4.4187,4.0,2,8,54.37248994761326,37.061369720394524,68.01430699299506,30.952937272600536,Weight Sensitive
Frisco,0.8200000000000001,25.25,4.492,4.0,1,8,53.14796871077629,35.91690435415721,71.14903262461239,35.23212827045518,Weight Sensitive
Princeton,3.38,19.88,5.9488,7.0,1,8,42.66590315005731,22.778489439880495,62.7664068313364,39.9879173914559,Weight Sensitive
Prosper,0.04,4.87,6.2129,6.0,1,8,45.44586216649969,29.348393890714433,63.5855546569633,34.23716076624887,Consistently Lower Ranked
Anna,0.0,0.89,6.6695,7.0,2,8,41.4920553597567,32.35110931765944,52.225017575038564,19.87390825737912,Consistently Lower Ranked
