City,Latest_ZHVI,Total_Appreciation_Pct,Five_Yr_CAGR_Pct,Three_Yr_CAGR_Pct,ZHVI_YoY_Pct,Momentum_vs_3yr,ZHVI_From_Peak_Pct,Months_Since_Peak,Latest_Population,Population_Change,Total_Population_Growth_Pct,Population_CAGR_Pct,Latest_Population_YoY_Pct,Population_Growth_Acceleration,Total_Permits_2020_2025,Avg_Annual_Permits,Avg_Permits_Per_1000,Latest_Permits,Latest_Permits_Per_1000,Latest_SF_Share_Pct,Peak_Construction_Year,Peak_Permits_Per_1000,Change_From_Construction_Peak_Pct,Homes_Sold_YoY_Pct,Pending_Sales_YoY_Pct,Inventory_YoY_Pct,New_Listings_YoY_Pct,Months_of_Supply,Median_DOM,DOM_YoY_Change,Sale_to_List_Pct
Anna,345077.93180376897,31.91291702121606,1.0116856072186042,-4.62280496207571,-7.080975153408653,-2.4581701913329432,-20.83678573045423,48,35245.0,17629.0,100.07379654859218,14.878311246231357,10.154394299287418,-4.370625387161152,6970,1161.6666666666667,46.913607303908755,864,24.514115477372677,100.0,2022,60.692549842602304,-59.609349844508706,4.477611940298498,5.882352941176472,10.743801652892571,-1.8750000000000044,5.9,76.0,14.0,97.73
Celina,522656.8216467437,45.34713882054084,2.852521551076026,-3.6033370290266986,-9.336195409458693,-5.732858380431994,-17.01036094445697,48,64427.0,46394.0,257.27277768535464,29.003052055179058,24.576058162693126,6.5546067706347095,18534,3089.0,89.64129337157385,2803,43.5066043739426,88.79771673207279,2021,143.12985018882017,-69.6034025630938,34.44976076555024,44.1747572815534,15.92592592592592,23.482849604221645,6.8,83.0,10.0,96.5
Frisco,649172.682391011,50.66922004570233,3.8074434279077973,-1.8735964002591587,-4.560895243655006,-2.687298843395847,-9.63560796922489,48,236955.0,34206.0,16.871106639243607,3.1671495196968547,0.7637385768777705,-2.8862407071427176,19850,3308.3333333333335,14.89719006415226,5652,23.852630246249287,19.285208775654635,2025,23.852630246249287,0.0,6.569343065693434,-1.8080667593880384,4.7016274864376095,-0.17857142857142794,4.9,50.0,2.0,97.29
McKinney,480264.84661716333,42.7335779918778,2.6747122410393898,-3.2282556671157425,-6.11437235259491,-2.8861166854791676,-13.801087388264733,48,236001.0,38494.0,19.48994212863342,3.625411976863524,3.7380712712695052,-1.6656186015030938,19096,3182.6666666666665,14.724781980007222,3040,12.881301350418006,54.24342105263158,2023,22.248579927166247,-42.102815583795916,-5.238095238095242,-12.527472527472527,-10.068259385665534,-14.54545454545455,4.1,45.0,0.0,97.76
Melissa,430393.872004657,40.562974936918295,2.1031156963501996,-3.6343923264392175,-6.023776691388793,-2.3893843649495756,-17.952700827687508,48,29969.0,15630.0,109.0034172536439,15.885921196860942,14.48162579265031,4.490029153994856,5765,960.8333333333334,47.24621257792919,553,18.45240081417465,100.0,2022,75.88940946300778,-75.68514375754992,-4.545454545454541,-16.666666666666664,-13.592233009708742,-12.637362637362637,5.2,60.0,3.0,97.9
Plano,499723.2090111567,42.52319083443634,3.2276536016105473,-2.2087511422795414,-4.428435306352085,-2.219684164072544,-9.179639012743168,26,293028.0,6614.0,2.3092446598280914,0.4576410128924513,-0.12508733959337714,-0.12508733959337714,5029,838.1666666666666,2.8842881153363287,313,1.0681573091991208,44.08945686900959,2022,6.103949189861329,-82.50055372391807,4.2735042735042805,-6.382978723404253,-19.701492537313435,-17.02838063439065,3.4,36.0,1.0,97.9
Princeton,288891.22872541874,24.087911195913,-0.3501023257335478,-6.499009271591316,-10.225484613827518,-3.7264753422362027,-25.122285403753953,47,43524.0,26023.0,148.69436032226727,19.986721629859836,18.092033861515077,-12.4456157807602,10293,1715.5,61.87202755668224,1610,36.99108537818215,99.25465838509317,2023,102.07551179429058,-63.761058134365214,40.064102564102555,39.93808049535603,-1.0593220338983023,-15.665236051502141,3.3,61.0,-5.0,97.33
Prosper,770217.0271312526,59.46903114841291,3.9583001636209536,-1.9869541619906173,-5.706132483033133,-3.7191783210425156,-12.173534104802041,48,45605.0,14776.0,47.92889811541081,8.146035772636239,2.4578194154253996,-3.4451070656595473,5418,903.0,24.662004228074768,261,5.723056682381318,100.0,2022,38.89622392395035,-85.28634375004884,-6.177606177606176,-11.6,0.23752969121140222,-18.941504178272982,5.3,66.0,0.0,96.36
Richardson,445039.9403702439,51.09313009657479,3.7107350180867416,-0.38624494118556507,-0.23856511427783333,0.14767982690773174,-4.475843249029654,25,118542.0,-777.0,-0.651195534659188,-0.13057968299046152,0.48316549689757515,1.1249361775787614,2381,396.8333333333333,3.3554604218072375,677,5.711055997030588,8.27178729689808,2024,6.6965042552470075,-14.715861002317398,-13.622291021671828,-4.705882352941182,1.7595307917888547,0.9280742459396807,3.8,33.0,1.0,97.82
