City,Pct_Rank_1,Pct_Top_3,Average_Rank,Median_Rank,Best_Rank,Worst_Rank,Mean_Score,Score_5th_Pct,Score_95th_Pct,Score_Range_90Pct,Robustness_Profile
Plano,32.93,81.62,2.3147,2.0,1,9,63.76203793069279,43.41231669049707,80.17891081907986,36.76659412858279,Highly Robust
Melissa,19.91,74.69,2.8353,3.0,1,8,62.19999108715028,50.13262656337996,74.88518934432126,24.752562780941304,Moderately Robust
Richardson,18.88,58.720000000000006,3.4365,3.0,1,9,59.5896641620266,36.142924938472696,79.25223863250598,43.10931369403328,Moderately Robust
Celina,24.36,42.94,4.2524,4.0,1,9,56.361098489278056,37.78398734124146,74.26920632411358,36.48521898287212,Moderately Robust
Princeton,3.8,19.88,6.5753,8.0,1,9,42.77317777627581,22.800608655348952,62.930071502232586,40.129462846883634,Weight Sensitive
Frisco,0.1,11.93,5.6595,6.0,1,9,50.34113910265948,35.43354637141627,66.27750574604042,30.84395937462415,Consistently Lower Ranked
McKinney,0.0,8.52,5.1579,5.0,2,9,53.042841644742175,37.819329960042836,66.24927845058357,28.42994849054074,Consistently Lower Ranked
Prosper,0.02,1.1400000000000001,7.2079,7.0,1,9,43.79384332519436,30.010662558634856,60.65846475424781,30.647802195612954,Consistently Lower Ranked
Anna,0.0,0.5599999999999999,7.5605,8.0,2,9,40.44015760000961,32.19829329315385,51.302341523138,19.104048229984144,Consistently Lower Ranked
