City,Population,Year,Population_YoY_Pct,Previous_Population_YoY_Pct,Population_Growth_Acceleration,Starting_Population,Population_Index_2020
Anna,17616.0,2020,,,,17616.0,100.0
Anna,20459.0,2021,16.138737511353305,,,17616.0,116.13873751135331
Anna,23825.0,2022,16.45241702918032,16.138737511353305,0.31367951782701553,17616.0,135.2463669391462
Anna,27938.0,2023,17.263378803777552,16.45241702918032,0.8109617745972315,17616.0,158.594459582198
Anna,31996.0,2024,14.52501968644857,17.263378803777552,-2.738359117328983,17616.0,181.63033605812896
Anna,35245.0,2025,10.154394299287418,14.52501968644857,-4.370625387161152,17616.0,200.07379654859218
Celina,18033.0,2020,,,,18033.0,100.0
Celina,24097.0,2021,33.62723895081241,,,18033.0,133.6272389508124
Celina,34476.0,2022,43.07175167033242,33.62723895081241,9.444512719520006,18033.0,191.18283147562803
Celina,43820.0,2023,27.102912170785466,43.07175167033242,-15.968839499546952,18033.0,242.9989463760883
Celina,51717.0,2024,18.021451392058417,27.102912170785466,-9.081460778727049,18033.0,286.79088338046915
Celina,64427.0,2025,24.576058162693126,18.021451392058417,6.5546067706347095,18033.0,357.27277768535464
Frisco,202749.0,2020,,,,202749.0,100.0
Frisco,211127.0,2021,4.132202871530799,,,202749.0,104.1322028715308
Frisco,220399.0,2022,4.391669469087334,4.132202871530799,0.2594665975565347,202749.0,108.70534503252792
Frisco,226878.0,2023,2.9396685102927034,4.391669469087334,-1.4520009587946303,202749.0,111.90092182945415
Frisco,235159.0,2024,3.649979284020488,2.9396685102927034,0.7103107737277847,202749.0,115.98528229485719
Frisco,236955.0,2025,0.7637385768777705,3.649979284020488,-2.8862407071427176,202749.0,116.8711066392436
McKinney,197507.0,2020,,,,197507.0,100.0
McKinney,203569.0,2021,3.0692583047689403,,,197507.0,103.06925830476894
McKinney,208584.0,2022,2.4635381615078833,3.0692583047689403,-0.605720143261057,197507.0,105.60840881589006
McKinney,215834.0,2023,3.4758178959076513,2.4635381615078833,1.012279734399768,197507.0,109.27916478909607
McKinney,227497.0,2024,5.403689872772599,3.4758178959076513,1.9278719768649477,197507.0,115.18427194985495
McKinney,236001.0,2025,3.7380712712695052,5.403689872772599,-1.6656186015030938,197507.0,119.48994212863342
Melissa,14339.0,2020,,,,14339.0,100.0
Melissa,16969.0,2021,18.341585884650247,,,14339.0,118.34158588465024
Melissa,19423.0,2022,14.461665389828514,18.341585884650247,-3.8799204948217323,14339.0,135.4557500523049
Melissa,23800.0,2023,22.535138753024775,14.461665389828514,8.07347336319626,14339.0,165.98089127554223
Melissa,26178.0,2024,9.991596638655453,22.535138753024775,-12.543542114369322,14339.0,182.56503242903966
Melissa,29969.0,2025,14.48162579265031,9.991596638655453,4.490029153994856,14339.0,209.0034172536439
Plano,286414.0,2020,,,,286414.0,100.0
Plano,288912.0,2021,0.8721640701921052,,,286414.0,100.8721640701921
Plano,291123.0,2022,0.7652849310516796,0.8721640701921052,-0.10687913914042557,286414.0,101.644123541447
Plano,293395.0,2023,0.7804261429017911,0.7652849310516796,0.015141211850111524,286414.0,102.43738085428784
Plano,293395.0,2024,0.0,0.7804261429017911,-0.7804261429017911,286414.0,102.43738085428784
Plano,293028.0,2025,-0.12508733959337714,0.0,-0.12508733959337714,286414.0,102.3092446598281
Princeton,17501.0,2020,,,,17501.0,100.0
Princeton,20071.0,2021,14.684875149991438,,,17501.0,114.68487514999144
Princeton,22962.0,2022,14.40386627472472,14.684875149991438,-0.2810088752667177,17501.0,131.2039312039312
Princeton,28234.0,2023,22.959672502395257,14.40386627472472,8.555806227670537,17501.0,161.3279241186218
Princeton,36856.0,2024,30.537649642275277,22.959672502395257,7.577977139880019,17501.0,210.59368036112224
Princeton,43524.0,2025,18.092033861515077,30.537649642275277,-12.4456157807602,17501.0,248.69436032226727
Prosper,30829.0,2020,,,,30829.0,100.0
Prosper,34159.0,2021,10.801518051185566,,,30829.0,110.80151805118557
Prosper,37870.0,2022,10.863901168066992,10.801518051185566,0.06238311688142595,30829.0,122.83888546498427
Prosper,42030.0,2023,10.984948508053872,10.863901168066992,0.12104733998688033,30829.0,136.33267378118006
Prosper,44511.0,2024,5.902926481084947,10.984948508053872,-5.082022026968925,30829.0,144.3802912841805
Prosper,45605.0,2025,2.4578194154253996,5.902926481084947,-3.4451070656595473,30829.0,147.92889811541082
