City,Population_CAGR_Pct_Score,Five_Year_CAGR_Pct_Score,Population_Growth_Acceleration_Score,ZHVI_YoY_Pct_Score,Homes_Sold_YoY_Pct_Score,Sale_to_List_Pct_Score,Inventory_YoY_Pct_Score,Months_of_Supply_Score,Long_Term_Fundamentals_Score,Current_Market_Momentum_Score,Fundamentals_Rank,Momentum_Rank,Market_Profile,Growth_Oriented_Score,Balanced_Score,Momentum_Oriented_Score,Growth_Oriented_Rank,Balanced_Rank,Momentum_Oriented_Rank,Best_Scenario_Rank,Worst_Scenario_Rank,Rank_Range
Anna,50.5183485078439,31.607723194779314,42.49945163408741,54.24327608122886,23.04244027274443,88.9610389610389,14.545326314844578,25.7142857142857,42.29585027352,39.56538532483799,5,6,Weaker Fundamentals + Weak Momentum,41.4767107889154,40.930617799179,40.38452480944259,7,8,8,7,8,1
Celina,100.0,74.33437067968553,100.0,15.340376753774823,87.85870602249537,9.090909090909092,0.0,0.0,91.01702973788994,22.77047175657914,1,8,Strong Fundamentals + Weak Momentum,70.5430623434967,56.89375074723454,43.24443915097238,1,3,6,1,6,5
Frisco,9.491923247455052,96.49854589755942,50.311911072408336,97.71504552959193,27.56591309049576,60.38961038961058,31.504663889890395,54.28571428571427,48.10823873998224,56.158461194059655,4,5,Weaker Fundamentals + Strong Momentum,50.523305476205465,52.13334996702095,53.74339445783643,5,4,4,4,5,1
McKinney,11.097303728709319,70.2073349518031,56.73616269545057,70.91732436933444,2.031739235154002,90.9090909090909,72.96118111507982,77.14285714285715,40.91358645014039,61.79285022731544,7,2,Weaker Fundamentals + Strong Momentum,47.177365583292904,51.35321833872791,55.52907109416292,6,5,3,3,6,3
Melissa,54.04819766341197,56.940316698482285,89.13392929448459,72.48011358158577,3.529609256587612,100.0,82.85236542213052,45.7142857142857,62.0775856519011,59.53928047399721,2,3,Strong Fundamentals + Strong Momentum,61.31609409852993,60.808433062949156,60.30077202736838,2,2,2,2,2,0
Plano,0.0,83.04135781613398,64.84412699819828,100.0,22.60104726987272,100.0,100.0,97.14285714285714,42.03330063528655,83.94878088254598,6,1,Weaker Fundamentals + Strong Momentum,54.60794470946438,62.99104075891626,71.37413680836815,3,1,1,1,3,2
Princeton,68.41408094645193,0.0,0.0,0.0,100.0,62.98701298701266,47.67465253579833,100.0,30.78633642590337,58.98298245521156,8,4,Weaker Fundamentals + Strong Momentum,39.24533023469583,44.88465944055747,50.523988646419106,8,7,5,5,8,3
Prosper,26.933908039909998,100.0,47.370543638394786,77.95952546007456,0.0,0.0,44.03461410178211,42.857142857142854,56.59436734563846,36.868232756803636,3,7,Strong Fundamentals + Weak Momentum,50.67652696898801,46.73130005122105,42.78607313345408,4,6,7,4,7,3
