City,Five_Yr_CAGR_Pct,ZHVI_YoY_Pct,ZHVI_From_Peak_Pct,Population_CAGR_Pct,Latest_Population_YoY_Pct,Avg_Permits_Per_1000,Latest_Permits_Per_1000,Homes_Sold_YoY_Pct,Pending_Sales_YoY_Pct,Inventory_YoY_Pct,Months_of_Supply,DOM_YoY_Change,Sale_to_List_Pct
Anna,1.0116856072186042,-7.080975153408653,-20.83678573045423,14.878311246231357,10.154394299287418,46.913607303908755,24.514115477372677,4.477611940298498,5.882352941176472,10.743801652892571,5.9,14.0,97.73
Celina,2.852521551076026,-9.336195409458693,-17.01036094445697,29.003052055179058,24.576058162693126,89.64129337157385,43.5066043739426,34.44976076555024,44.1747572815534,15.92592592592592,6.8,10.0,96.5
Frisco,3.8074434279077973,-4.560895243655006,-9.63560796922489,3.1671495196968547,0.7637385768777705,14.89719006415226,23.852630246249287,6.569343065693434,-1.8080667593880384,4.7016274864376095,4.9,2.0,97.29
McKinney,2.6747122410393898,-6.11437235259491,-13.801087388264733,3.625411976863524,3.7380712712695052,14.724781980007222,12.881301350418006,-5.238095238095242,-12.527472527472527,-10.068259385665534,4.1,0.0,97.76
Melissa,2.1031156963501996,-6.023776691388793,-17.952700827687508,15.885921196860942,14.48162579265031,47.24621257792919,18.45240081417465,-4.545454545454541,-16.666666666666664,-13.592233009708742,5.2,3.0,97.9
Plano,3.2276536016105473,-4.428435306352085,-9.179639012743168,0.4576410128924513,-0.12508733959337714,2.8842881153363287,1.0681573091991208,4.2735042735042805,-6.382978723404253,-19.701492537313435,3.4,1.0,97.9
Princeton,-0.3501023257335478,-10.225484613827518,-25.122285403753953,19.986721629859836,18.092033861515077,61.87202755668224,36.99108537818215,40.064102564102555,39.93808049535603,-1.0593220338983023,3.3,-5.0,97.33
Prosper,3.9583001636209536,-5.706132483033133,-12.173534104802041,8.146035772636239,2.4578194154253996,24.662004228074768,5.723056682381318,-6.177606177606176,-11.6,0.23752969121140222,5.3,0.0,96.36
Richardson,3.7107350180867416,-0.23856511427783333,-4.475843249029654,-0.13057968299046152,0.48316549689757515,3.3554604218072375,5.711055997030588,-13.622291021671828,-4.705882352941182,1.7595307917888547,3.8,1.0,97.82
