City,Total_Permits_2020_2025,Avg_Annual_Permits,Avg_Permits_Per_1000,Latest_Permits,Latest_Permits_Per_1000,Latest_SF_Share_Pct
Anna,6970,1161.6666666666667,46.913607303908755,864,24.514115477372677,100.0
Celina,18534,3089.0,89.64129337157385,2803,43.5066043739426,88.79771673207279
Frisco,19850,3308.3333333333335,14.89719006415226,5652,23.852630246249287,19.285208775654635
McKinney,19096,3182.6666666666665,14.724781980007222,3040,12.881301350418006,54.24342105263158
Melissa,5765,960.8333333333334,47.24621257792919,553,18.45240081417465,100.0
Plano,5029,838.1666666666666,2.8842881153363287,313,1.0681573091991208,44.08945686900959
Princeton,10293,1715.5,61.87202755668224,1610,36.99108537818215,99.25465838509317
Prosper,5418,903.0,24.662004228074768,261,5.723056682381318,100.0
