City,Population_CAGR_Pct_Score,Five_Yr_CAGR_Pct_Score,Population_Growth_Acceleration_Score,ZHVI_YoY_Pct_Score,Homes_Sold_YoY_Pct_Score,Sale_to_List_Pct_Score,Inventory_YoY_Pct_Score,Months_of_Supply_Score,Long_Term_Fundamentals_Score,Current_Market_Momentum_Score,Fundamentals_Rank,Momentum_Rank,Market_Profile,Growth_Oriented_Score,Balanced_Score,Momentum_Oriented_Score,Growth_Oriented_Rank,Balanced_Rank,Momentum_Oriented_Rank,Best_Scenario_Rank,Worst_Scenario_Rank,Rank_Range
Anna,51.51740457252322,31.607723194779314,42.49945163408741,31.486280234467216,33.71413453774323,88.9610389610389,14.545326314844578,25.7142857142857,42.74542550262569,36.01047521614734,7,7,Weaker Fundamentals + Weak Momentum,40.72494041668219,39.37795035938652,38.03096030209085,8,9,9,8,9,1
Celina,100.0,74.33437067968553,100.0,8.904539627148532,89.54233759512582,9.090909090909092,0.0,0.0,91.01702973788994,21.49823878944866,1,9,Strong Fundamentals + Weak Momentum,70.16139245335755,56.2576342636693,42.35387607398104,1,3,7,1,7,6
Frisco,11.319320681763086,96.49854589755942,50.311911072408336,56.720086413312245,37.610337999525385,60.38961038961058,31.504663889890395,54.28571428571427,48.93056758542085,47.91860639679566,4,6,Weaker Fundamentals + Weak Momentum,48.62697922883329,48.42458699110826,48.222194753383214,6,6,6,6,6,0
McKinney,12.892287832872762,70.2073349518031,56.73616269545057,41.164968451162345,15.616984534789461,90.9090909090909,72.96118111507982,77.14285714285715,41.721329297013945,57.07181030769951,8,4,Weaker Fundamentals + Strong Momentum,46.326473600219614,49.39656980235672,52.46666600449383,7,5,4,4,7,3
Melissa,54.97598453840321,56.940316698482285,89.13392929448459,42.072111651928125,16.907145125543376,100.0,82.85236542213052,45.7142857142857,62.495089745647164,54.61278716537395,2,5,Strong Fundamentals + Strong Momentum,60.1303989715652,58.55393845551056,56.97747793945591,2,2,3,2,3,1
Plano,2.0190434929959444,83.04135781613398,64.84412699819828,58.04642069796221,33.33394944211352,100.0,100.0,97.14285714285714,42.94187020713473,75.60696649148468,6,1,Weaker Fundamentals + Strong Momentum,52.74139909243971,59.274418349309705,65.80743760617969,3,1,1,1,3,2
Princeton,69.05181438980557,0.0,0.0,0.0,100.0,62.98701298701266,47.67465253579833,100.0,31.073316475412508,58.98298245521156,9,3,Weaker Fundamentals + Strong Momentum,39.44621626935222,45.02814946531203,50.610082661271846,9,7,5,5,9,4
Prosper,28.409144215216624,100.0,47.370543638394786,45.25271412268984,13.866986301047266,0.0,44.03461410178211,42.857142857142854,57.258223624526444,31.464927182666905,3,8,Strong Fundamentals + Weak Momentum,49.52023469196858,44.361575403596675,39.20291611522477,5,8,8,5,8,3
Richardson,0.0,94.25389930151806,71.42312107993006,100.0,0.0,94.80519480519402,39.76262032219388,85.71428571428571,47.27348897151733,64.31616042807502,5,2,Weaker Fundamentals + Strong Momentum,52.38629040848464,55.79482469979618,59.20335899110771,4,4,2,2,4,2
